date,number_rides
2014-01-01,6059
2014-01-02,8600
2014-01-03,1144
2014-01-04,2292
2014-01-05,2678
2014-01-06,9510
2014-01-07,6267
2014-01-08,9246
2014-01-09,13354
2014-01-10,9847
2014-01-11,7695
2014-01-12,12515
2014-01-13,20633
2014-01-14,9999
2014-01-15,21630
2014-01-16,19953
2014-01-17,20301
2014-01-18,9438
2014-01-19,9028
2014-01-20,13407
2014-01-21,3804
2014-01-22,2451
2014-01-23,5071
2014-01-24,6176
2014-01-25,4338
2014-01-26,4980
2014-01-27,13119
2014-01-28,10033
2014-01-29,10021
2014-01-30,12158
2014-01-31,14653
