date,gender,numbers
2014-01-01,0,652
2014-01-02,0,181
2014-01-03,0,21
2014-01-04,0,29
2014-01-05,0,35
2014-01-06,0,102
2014-01-07,0,28
2014-01-08,0,57
2014-01-09,0,163
2014-01-10,0,129
2014-01-11,0,194
2014-01-12,0,777
2014-01-13,0,588
2014-01-14,0,157
2014-01-15,0,586
2014-01-16,0,472
2014-01-17,0,783
2014-01-18,0,478
2014-01-19,0,452
2014-01-20,0,516
2014-01-21,0,25
2014-01-22,0,28
2014-01-23,0,35
2014-01-24,0,45
2014-01-25,0,73
2014-01-26,0,88
2014-01-27,0,119
2014-01-28,0,50
2014-01-29,0,55
2014-01-30,0,114
2014-01-31,0,237
2014-01-01,1,4217
2014-01-02,1,6906
2014-01-03,1,986
2014-01-04,1,1820
2014-01-05,1,2198
2014-01-06,1,7774
2014-01-07,1,5288
2014-01-08,1,7589
2014-01-09,1,10763
2014-01-10,1,8039
2014-01-11,1,5863
2014-01-12,1,8768
2014-01-13,1,15957
2014-01-14,1,8068
2014-01-15,1,16720
2014-01-16,1,15615
2014-01-17,1,15495
2014-01-18,1,6955
2014-01-19,1,6392
2014-01-20,1,9968
2014-01-21,1,3191
2014-01-22,1,2087
2014-01-23,1,4226
2014-01-24,1,5190
2014-01-25,1,3469
2014-01-26,1,3874
2014-01-27,1,10567
2014-01-28,1,8222
2014-01-29,1,8229
2014-01-30,1,9887
2014-01-31,1,11783
2014-01-01,2,1190
2014-01-02,2,1513
2014-01-03,2,137
2014-01-04,2,443
2014-01-05,2,445
2014-01-06,2,1634
2014-01-07,2,951
2014-01-08,2,1600
2014-01-09,2,2428
2014-01-10,2,1679
2014-01-11,2,1638
2014-01-12,2,2970
2014-01-13,2,4088
2014-01-14,2,1774
2014-01-15,2,4324
2014-01-16,2,3866
2014-01-17,2,4023
2014-01-18,2,2005
2014-01-19,2,2184
2014-01-20,2,2923
2014-01-21,2,588
2014-01-22,2,336
2014-01-23,2,810
2014-01-24,2,941
2014-01-25,2,796
2014-01-26,2,1018
2014-01-27,2,2433
2014-01-28,2,1761
2014-01-29,2,1737
2014-01-30,2,2157
2014-01-31,2,2633
